brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220918140104029312006,188,1092,09,210,01,002,005,006,1,男,39,good
50620220917111825022034274,179,1200,22,818,01,004,021,004,1,男,55,good
50620220921115413038524750,85,1450,10,513,01,007,003,003,1,女,34,good
50620220930092915060607295,118,1092,09,210,01,003,003,004,0,男,55,good
50620220912175112006615800,0,750,22,830,01,003,001,004,1,男,52,good
50620220923124348044527718,158,1502,09,210,01,004,,004,1,男,48,good
50620220901173014955239459,169,1014,31,230,01,005,008,003,1,男,49,good
50620220901161306955174734,0,1200,22,830,01,004,008,006,1,女,50,good
50620220917160314024675710,188,1092,09,210,01,005,006,006,1,男,48,good
50620220902124257956964968,0,950,22,834,01,002,007,006,1,女,51,good
50620220912173201006603092,160,950,10,518,01,004,009,003,1,男,39,good
50620220915123322016274802,158,1469,09,210,01,003,,004,1,男,35,good
50620220927135327055439045,128,741,09,210,01,003,,004,1,男,48,good
50620220904143239966061353,0,1660,22,839,01,003,006,003,1,女,35,good
50620220909100811993811801,0,1200,22,832,01,001,008,006,1,女,53,good
50620220911195712002404849,269,1600,31,230,01,002,007,006,1,女,29,good
50620220924110624047095307,139,1200,22,812,01,002,006,004,0,男,38,good
50620220929102118058836930,199,1209,31,230,01,003,,003,1,男,49,good
50620220902113818956957951,0,750,22,830,01,004,008,006,1,男,52,good
50620220921145234038656588,0,750,22,818,01,003,002,003,1,男,53,good
50620220917174144025544237,0,1200,22,834,01,003,001,002,1,女,53,good
50620220919090937030723344,169,970,17,717,01,002,008,005,1,男,61,good
50620220927123059055413521,188,1092,09,210,01,005,,004,1,男,37,good
50620220912175722006625083,198,1930,17,719,01,003,003,004,1,男,49,good
50620220925102034050045938,158,1502,09,210,01,002,003,006,1,女,32,good
50620220927104544055211726,88,507,09,210,01,005,021,003,1,男,53,good
50620220924171250047697446,148,1440,17,717,01,003,021,005,1,男,46,good
50620220906121215971361071,0,1200,22,836,01,003,008,004,1,女,31,good
50620220910125852998722884,139,760,31,230,01,003,021,006,1,男,33,good
50620220925210557050643413,128,741,09,210,01,004,008,006,1,男,53,good
50620220928143812057362474,0,1200,22,834,01,003,003,004,1,女,53,good
50620220915133055016287289,288,1678,09,210,01,002,009,005,1,男,40,good
50620220926165610053045615,0,950,22,818,01,002,006,005,1,女,42,good
50620220905155300969079873,158,917,09,210,01,002,005,004,1,男,52,good
50620220905121103968896856,188,1092,09,210,01,004,006,003,1,女,26,good
50620220907181214983421390,199,1209,31,230,01,002,006,006,1,女,29,good
50620220919120050032104680,158,1502,09,210,01,003,,004,1,男,52,good
50620220930170648061165526,149,3030,22,835,01,006,010,003,1,男,36,bad
50620220915110753016120179,96,650,22,818,01,004,001,005,1,男,62,good
50620220904081242962507358,149,3000,22,830,01,004,021,004,1,女,37,good
50620220907110853976901706,0,750,22,830,01,001,,006,1,女,49,good
50620220901145710955153169,108,619,09,210,01,004,009,004,1,男,48,good
50620220923181631044760414,0,1660,22,833,01,003,012,004,1,男,31,good
50620220916154228019677164,0,750,22,280,01,002,006,004,1,男,30,good
50620220927105500055213196,166,1460,22,834,01,003,016,004,1,女,49,good
50620220905104640968497042,278,2517,09,210,01,005,,004,1,男,53,good
50620220902160239957412107,0,950,22,830,01,003,001,004,1,男,43,good
50620220928110158057175997,79,1600,22,830,01,007,017,003,1,女,41,good
50620220919084925030543655,90,770,22,830,01,002,001,006,1,男,53,good
50620220920092320034499553,99,580,12,558,01,002,,006,1,男,58,good
50620220906150614971529000,158,1502,09,210,01,005,,003,1,女,47,good
50620220920111913035326803,0,1200,22,831,01,003,003,005,1,男,59,good
50620220921173432038810562,0,750,22,831,01,004,003,004,1,男,58,good
50620220919151816032497556,288,1678,09,210,01,004,006,003,1,女,47,good
50620220903155820961632326,0,750,22,830,01,004,,005,1,女,47,good
50620220921180244038833707,64,1300,22,280,01,005,018,003,1,男,49,good
50620220927152340055536323,188,1092,09,210,01,002,007,004,0,男,45,good
50620220923095659043832942,98,540,17,713,01,005,006,005,1,男,59,good
50620220908092230989379806,129,760,12,551,01,002,006,006,1,男,44,good
50620220927082919054784869,0,750,22,830,01,003,,004,1,男,56,good
50620220917193245026241386,110,970,22,825,01,003,003,003,1,男,42,good
50620220919120738032161698,0,750,22,830,01,002,,006,1,男,55,good
50620220916184545019813420,72,1404,31,230,01,005,007,005,1,男,59,good
50620220916124043019499295,118,1092,09,210,01,005,002,003,1,男,39,good
50620220924122724047470898,0,1200,22,834,01,003,001,006,1,男,56,good
50620220923102545043912833,64,1300,22,816,01,003,001,006,1,女,39,good
50620220910112102998309974,169,1420,10,510,01,003,003,004,0,女,39,bad
50620220921132446038616334,158,1469,09,210,01,005,017,004,1,男,53,good
50620220908105907989924667,0,1010,15,536,01,005,021,003,1,女,36,good
50620220922175616041889216,139,1200,22,816,01,006,006,004,1,女,59,good
50620220908145644990239824,0,750,22,834,01,003,,006,1,男,53,good
50620220905180359969174442,269,1600,31,230,01,003,021,005,1,男,34,good
50620220909112522994310365,0,950,22,834,01,002,006,006,1,男,44,good
50620220919170724032579319,158,1502,09,210,01,004,003,003,1,男,40,good
50620220906181303971643456,0,1150,22,834,01,003,,004,1,男,24,good
50620220921141212038638339,239,1420,12,564,01,003,007,006,1,男,42,good
50620220906155226971554810,118,1092,09,210,01,003,008,006,1,男,48,good
50620220915181519016554616,158,1502,09,210,01,007,006,003,1,男,33,good
50620220928091450056939038,0,750,22,830,01,003,006,004,1,女,55,good
50620220914125917013060339,0,750,22,830,01,004,003,005,1,男,42,good
50620220916165543019733720,0,950,22,816,01,003,003,006,1,男,60,good
50620220906104927971102262,166,1460,22,830,01,003,006,004,1,女,48,good
50620220921201811038925314,0,750,22,834,01,001,021,006,1,男,41,good
